plan_type,engagement_bucket,usage_bucket,support_bucket,payment_history,total_users,churned_users,churn_rate
Basic,Medium,Medium,Low,On-Time,410,0,0.000
Pro,Low,Medium,Medium,Delayed,22,20,0.909
Pro,Medium,Medium,High,On-Time,66,3,0.045
Pro,Low,Medium,High,Delayed,13,13,1.000
Basic,Medium,Low,Low,Delayed,95,64,0.674
Basic,Medium,Medium,Medium,On-Time,259,0,0.000
Enterprise,Medium,High,Medium,Delayed,7,0,0.000
Enterprise,Low,Low,Medium,Delayed,30,30,1.000
Basic,High,High,Medium,Delayed,77,0,0.000
Enterprise,Medium,Medium,Low,On-Time,62,0,0.000
Basic,Medium,High,Medium,On-Time,240,0,0.000
Basic,Low,Low,Medium,Delayed,163,163,1.000
Pro,High,Medium,Low,On-Time,314,0,0.000
Basic,High,High,Low,On-Time,484,0,0.000
Pro,High,Medium,Medium,On-Time,214,0,0.000
Basic,Low,Low,Low,Missed,204,204,1.000
Basic,Low,Low,Medium,Missed,161,161,1.000
Pro,Medium,Medium,Low,Delayed,62,6,0.097
Pro,Low,Low,Low,Delayed,141,137,0.972
Basic,Medium,Medium,High,On-Time,103,1,0.010
Pro,High,High,Low,On-Time,317,0,0.000
Pro,Low,Low,Medium,On-Time,33,20,0.606
Pro,Medium,Low,Low,Missed,13,13,1.000
Pro,High,Medium,High,On-Time,80,0,0.000
Basic,Low,Medium,High,Missed,9,9,1.000
Basic,High,High,Medium,On-Time,354,0,0.000
Basic,High,Medium,Medium,On-Time,334,0,0.000
Pro,High,Medium,High,Delayed,12,0,0.000
Basic,Medium,High,Low,On-Time,339,0,0.000
Pro,Medium,High,Low,On-Time,182,0,0.000
Basic,Low,Low,High,Missed,57,57,1.000
Pro,Medium,Medium,Medium,On-Time,144,0,0.000
Pro,High,High,Medium,On-Time,208,0,0.000
Basic,High,Medium,Low,On-Time,482,0,0.000
Pro,High,Medium,Low,Delayed,51,0,0.000
Basic,Low,Low,Medium,On-Time,46,32,0.696
Pro,Low,Low,High,On-Time,16,13,0.813
Basic,High,High,Low,Delayed,90,0,0.000
Basic,High,Medium,High,On-Time,141,0,0.000
Basic,Low,Medium,High,Delayed,15,15,1.000
Pro,High,High,High,On-Time,91,0,0.000
Pro,Medium,Medium,Low,On-Time,202,0,0.000
Enterprise,Medium,High,Low,On-Time,48,0,0.000
Pro,High,High,High,Delayed,16,0,0.000
Enterprise,Medium,Medium,Low,Delayed,19,2,0.105
Basic,Low,Medium,Low,Missed,25,21,0.840
Basic,Low,Low,Low,Delayed,215,211,0.981
Basic,High,High,High,Delayed,28,0,0.000
Enterprise,High,Medium,Low,On-Time,80,0,0.000
Enterprise,High,High,Medium,On-Time,64,0,0.000
Pro,Low,Low,Medium,Delayed,104,104,1.000
Basic,Medium,Low,Medium,On-Time,30,13,0.433
Basic,Medium,Low,Medium,Delayed,52,51,0.981
Basic,Medium,Low,High,On-Time,14,10,0.714
Basic,Medium,High,Medium,Delayed,42,0,0.000
Pro,Low,Medium,Low,Missed,14,13,0.929
Enterprise,High,Medium,Medium,On-Time,56,0,0.000
Pro,High,High,Medium,Delayed,42,0,0.000
Enterprise,Low,Medium,Low,Missed,4,4,1.000
Basic,Low,Low,Low,On-Time,75,26,0.347
Basic,Medium,Medium,Low,Delayed,114,12,0.105
Basic,Medium,High,High,On-Time,115,0,0.000
Enterprise,High,High,Low,Delayed,16,0,0.000
Basic,Medium,Medium,High,Delayed,26,10,0.385
Basic,Low,Low,High,On-Time,21,19,0.905
Pro,Medium,High,Low,Delayed,46,0,0.000
Basic,Medium,Medium,Medium,Missed,10,9,0.900
Enterprise,Medium,Low,Medium,Missed,3,3,1.000
Pro,Low,Low,High,Missed,36,36,1.000
Basic,Low,Low,High,Delayed,55,55,1.000
Basic,Medium,Medium,Medium,Delayed,46,7,0.152
Basic,High,High,High,On-Time,135,0,0.000
Pro,Medium,High,Medium,On-Time,167,0,0.000
Pro,Medium,Medium,Medium,Delayed,50,17,0.340
Pro,High,Medium,Medium,Delayed,42,0,0.000
Pro,Medium,Low,Medium,On-Time,20,8,0.400
Pro,Low,Low,Low,Missed,122,122,1.000
Basic,Medium,Low,Low,On-Time,44,0,0.000
Pro,Low,Low,High,Delayed,34,34,1.000
Enterprise,Medium,High,High,Delayed,3,0,0.000
Basic,High,Medium,Medium,Delayed,59,0,0.000
Pro,Medium,Medium,High,Delayed,15,4,0.267
Basic,High,Medium,High,Delayed,30,0,0.000
Pro,Medium,High,Medium,Delayed,20,0,0.000
Basic,Medium,Low,Medium,Missed,23,23,1.000
Pro,Low,Medium,Low,On-Time,25,0,0.000
Pro,High,High,Low,Delayed,47,0,0.000
Basic,High,Medium,Low,Delayed,78,0,0.000
Pro,Low,Low,Medium,Missed,104,104,1.000
Enterprise,High,High,Low,On-Time,89,0,0.000
Enterprise,Medium,Low,Medium,Delayed,11,11,1.000
Enterprise,Medium,Low,Low,Delayed,13,7,0.538
Pro,Low,Low,Low,On-Time,56,20,0.357
Enterprise,High,High,Medium,Delayed,12,0,0.000
Basic,Medium,High,High,Delayed,18,0,0.000
Enterprise,High,High,High,On-Time,27,0,0.000
Basic,Medium,Low,High,Missed,8,8,1.000
Enterprise,Medium,Medium,High,On-Time,19,0,0.000
Enterprise,Low,Low,High,Missed,13,13,1.000
Enterprise,Low,Low,High,Delayed,13,13,1.000
Enterprise,Low,Low,Low,Delayed,43,39,0.907
Basic,Medium,Low,High,Delayed,19,19,1.000
Enterprise,High,Medium,High,Delayed,6,0,0.000
Pro,Medium,High,High,Delayed,11,0,0.000
Pro,Medium,High,High,On-Time,59,0,0.000
Pro,Low,Medium,Low,Delayed,28,23,0.821
Basic,Low,Medium,Low,On-Time,27,0,0.000
Basic,Low,Medium,Low,Delayed,51,38,0.745
Pro,Medium,Low,Low,On-Time,36,0,0.000
Basic,Low,Medium,Medium,Missed,18,18,1.000
Enterprise,Low,Low,Low,Missed,44,44,1.000
Enterprise,Medium,High,Medium,On-Time,52,0,0.000
Pro,Medium,Low,Medium,Missed,10,10,1.000
Enterprise,High,Medium,High,On-Time,27,0,0.000
Enterprise,Low,Low,Low,On-Time,18,9,0.500
Pro,Medium,Low,Low,Delayed,46,30,0.652
Pro,Low,Medium,High,On-Time,6,3,0.500
Pro,Medium,Low,Medium,Delayed,41,39,0.951
Enterprise,Low,Medium,Medium,Missed,2,2,1.000
Enterprise,Medium,Low,High,Delayed,7,7,1.000
Basic,Low,Medium,Medium,On-Time,18,3,0.167
Basic,Medium,Low,Low,Missed,29,27,0.931
Enterprise,Medium,High,High,On-Time,26,0,0.000
Enterprise,Low,Medium,High,Missed,1,1,1.000
Pro,Medium,Low,High,Missed,7,7,1.000
Basic,Medium,High,Low,Delayed,39,0,0.000
Pro,Low,Medium,Medium,On-Time,14,5,0.357
Enterprise,High,Medium,Medium,Delayed,6,0,0.000
Enterprise,Medium,Low,Low,On-Time,5,0,0.000
Pro,Low,Medium,Medium,Missed,8,8,1.000
Enterprise,Medium,Medium,Medium,On-Time,39,0,0.000
Enterprise,High,Medium,Low,Delayed,12,0,0.000
Pro,Medium,Medium,Medium,Missed,6,6,1.000
Enterprise,Medium,Medium,Medium,Delayed,14,3,0.214
Enterprise,Low,Low,Medium,Missed,24,24,1.000
Basic,Medium,Medium,Low,Missed,9,6,0.667
Pro,Medium,Low,High,Delayed,13,13,1.000
Enterprise,Medium,Medium,High,Delayed,5,1,0.200
Basic,Low,Medium,Medium,Delayed,26,24,0.923
Enterprise,Medium,Low,High,Missed,2,2,1.000
Basic,Low,Medium,High,On-Time,12,7,0.583
Enterprise,Low,Medium,Low,Delayed,7,4,0.571
Enterprise,Low,Medium,High,On-Time,2,2,1.000
Pro,Medium,Medium,Low,Missed,7,6,0.857
Enterprise,Low,Low,Medium,On-Time,4,3,0.750
Enterprise,Medium,Low,Low,Missed,6,6,1.000
Pro,Medium,Low,High,On-Time,7,5,0.714
Enterprise,Medium,High,Low,Delayed,9,0,0.000
Enterprise,Medium,Low,Medium,On-Time,7,2,0.286
Enterprise,Low,Medium,Low,On-Time,2,0,0.000
Enterprise,High,High,High,Delayed,4,0,0.000
Basic,Medium,Medium,High,Missed,1,1,1.000
Enterprise,Low,Medium,Medium,Delayed,6,6,1.000
Enterprise,Low,Medium,Medium,On-Time,3,0,0.000
