cohort_month,tenure_bucket,total_users,retained_users,retention_rate
2024-02-01,M12+,257,206,0.802
2025-11-01,M4-6,105,72,0.686
2025-03-01,M10-12,263,195,0.741
2024-10-01,M12+,285,212,0.744
2023-06-01,M12+,265,205,0.774
2023-03-01,M12+,309,225,0.728
2025-08-01,M7-9,126,105,0.833
2025-02-01,M12+,121,97,0.802
2023-01-01,M12+,278,215,0.773
2025-11-01,M1-3,179,149,0.832
2025-06-01,M7-9,288,227,0.788
2023-08-01,M12+,291,222,0.763
2023-07-01,M12+,282,216,0.766
2023-11-01,M12+,270,185,0.685
2024-07-01,M12+,304,231,0.760
2024-04-01,M12+,281,206,0.733
2024-05-01,M12+,282,212,0.752
2025-05-01,M10-12,112,94,0.839
2023-02-01,M12+,266,201,0.756
2023-04-01,M12+,277,206,0.744
2025-01-01,M12+,295,220,0.746
2023-05-01,M12+,295,216,0.732
2024-06-01,M12+,270,203,0.752
2025-09-01,M4-6,263,191,0.726
2023-10-01,M12+,298,224,0.752
2024-12-01,M12+,285,217,0.761
2023-12-01,M12+,269,199,0.740
2024-08-01,M12+,285,221,0.775
2025-04-01,M10-12,258,202,0.783
2025-10-01,M4-6,280,209,0.746
2024-03-01,M12+,312,252,0.808
2024-01-01,M12+,297,225,0.758
2025-05-01,M7-9,157,107,0.682
2025-12-01,M1-3,243,191,0.786
2024-11-01,M12+,265,209,0.789
2025-08-01,M4-6,150,113,0.753
2025-02-01,M10-12,126,100,0.794
2024-09-01,M12+,281,212,0.754
2023-09-01,M12+,275,202,0.735
2025-07-01,M7-9,255,190,0.745
