signup_month,total_customers,active_users,at_risk_users,churned_users,churn_rate
2023-01-01,278,167,48,63,0.227
2023-02-01,266,163,38,65,0.244
2023-03-01,309,183,42,84,0.272
2023-04-01,277,168,38,71,0.256
2023-05-01,295,182,34,79,0.268
2023-06-01,265,164,41,60,0.226
2023-07-01,282,184,32,66,0.234
2023-08-01,291,179,43,69,0.237
2023-09-01,275,152,50,73,0.265
2023-10-01,298,180,44,74,0.248
2023-11-01,270,148,37,85,0.315
2023-12-01,269,156,43,70,0.260
2024-01-01,297,186,39,72,0.242
2024-02-01,257,160,46,51,0.198
2024-03-01,312,197,55,60,0.192
2024-04-01,281,169,37,75,0.267
2024-05-01,282,174,38,70,0.248
2024-06-01,270,161,42,67,0.248
2024-07-01,304,181,50,73,0.240
2024-08-01,285,178,43,64,0.225
2024-09-01,281,171,41,69,0.246
2024-10-01,285,164,48,73,0.256
2024-11-01,265,164,45,56,0.211
2024-12-01,285,172,45,68,0.239
2025-01-01,295,170,50,75,0.254
2025-02-01,247,152,45,50,0.202
2025-03-01,263,156,39,68,0.259
2025-04-01,258,165,37,56,0.217
2025-05-01,269,166,35,68,0.253
2025-06-01,288,181,46,61,0.212
2025-07-01,255,155,35,65,0.255
2025-08-01,276,182,36,58,0.210
2025-09-01,263,159,32,72,0.274
2025-10-01,280,167,42,71,0.254
2025-11-01,284,182,39,63,0.222
2025-12-01,243,152,39,52,0.214
