customer_id,plan_type,churn_status,risk_score,monthly_revenue,days_since_last_login,engagement_bucket,usage_bucket,support_bucket,payment_history,customer_satisfaction_score
1,Basic,Active,4,16.00,44,Medium,Medium,Low,On-Time,10
2,Pro,Churned,10,72.00,84,Low,Medium,Medium,Delayed,5
3,Pro,Active,4,62.00,12,Medium,Medium,High,On-Time,7
4,Pro,Churned,10,70.00,53,Low,Medium,High,Delayed,4
5,Basic,Churned,9,10.00,87,Medium,Low,Low,Delayed,6
6,Basic,Active,4,29.00,24,Medium,Medium,Medium,On-Time,9
7,Enterprise,"At Risk",5,234.00,30,Medium,High,Medium,Delayed,10
8,Enterprise,Churned,11,149.00,80,Low,Low,Medium,Delayed,5
9,Basic,Active,4,19.00,26,High,High,Medium,Delayed,9
10,Enterprise,Active,2,171.00,8,Medium,Medium,Low,On-Time,10
11,Basic,Active,2,23.00,13,Medium,High,Medium,On-Time,10
12,Basic,Churned,11,18.00,89,Low,Low,Medium,Delayed,4
13,Pro,Active,2,59.00,16,High,Medium,Low,On-Time,10
14,Basic,Active,0,29.00,4,High,High,Low,On-Time,10
15,Pro,Active,2,51.00,3,High,Medium,Medium,On-Time,10
16,Basic,Churned,14,20.00,147,Low,Low,Low,Missed,1
17,Basic,Churned,13,24.00,130,Low,Low,Medium,Missed,5
18,Pro,"At Risk",6,79.00,36,Medium,Medium,Low,Delayed,7
19,Pro,Churned,11,70.00,166,Low,Low,Low,Delayed,5
20,Basic,Active,4,23.00,13,Medium,Medium,High,On-Time,10
21,Basic,Active,4,29.00,20,Medium,Medium,Medium,On-Time,9
22,Pro,Active,1,41.00,24,High,High,Low,On-Time,7
23,Pro,"At Risk",7,64.00,58,Low,Low,Medium,On-Time,7
24,Basic,Churned,13,25.00,221,Low,Low,Medium,Missed,5
25,Pro,Churned,10,76.00,64,Medium,Low,Low,Missed,6
26,Pro,Active,3,78.00,7,High,Medium,High,On-Time,9
27,Basic,Active,0,24.00,7,High,High,Low,On-Time,10
28,Basic,Churned,10,20.00,52,Low,Medium,High,Missed,7
29,Basic,"At Risk",8,10.00,65,Medium,Low,Low,Delayed,7
30,Basic,Active,2,17.00,25,High,High,Medium,On-Time,10
31,Basic,Active,3,15.00,25,High,Medium,Medium,On-Time,10
32,Pro,"At Risk",6,55.00,25,High,Medium,High,Delayed,9
33,Basic,Active,1,27.00,14,Medium,High,Low,On-Time,7
34,Pro,Active,3,55.00,42,Medium,High,Low,On-Time,10
35,Basic,Active,3,10.00,40,High,High,Medium,On-Time,10
36,Basic,Active,2,26.00,32,High,High,Low,On-Time,7
37,Basic,Churned,14,13.00,143,Low,Low,High,Missed,5
38,Pro,Active,1,46.00,4,Medium,High,Low,On-Time,7
39,Pro,Active,3,66.00,13,Medium,Medium,Medium,On-Time,10
40,Basic,Active,3,17.00,16,Medium,High,Medium,On-Time,7
41,Basic,Active,2,23.00,21,Medium,High,Low,On-Time,7
42,Basic,Active,2,29.00,30,High,High,Medium,On-Time,9
43,Pro,Active,3,59.00,37,High,High,Medium,On-Time,9
44,Basic,Active,1,19.00,0,High,Medium,Low,On-Time,10
45,Pro,"At Risk",5,45.00,37,High,Medium,Low,Delayed,7
46,Pro,Active,2,47.00,29,High,Medium,Low,On-Time,7
47,Basic,Churned,10,12.00,104,Low,Low,Medium,On-Time,6
48,Basic,Active,1,15.00,21,High,High,Low,On-Time,10
49,Pro,Active,1,76.00,9,High,Medium,Low,On-Time,10
50,Pro,Churned,11,42.00,112,Low,Low,High,On-Time,5
51,Basic,Active,3,12.00,26,High,High,Low,Delayed,8
52,Basic,Churned,14,29.00,166,Low,Low,High,Missed,5
53,Basic,Active,4,18.00,22,High,Medium,High,On-Time,7
54,Basic,Active,2,27.00,19,High,High,Medium,On-Time,7
55,Basic,Active,0,23.00,12,High,High,Low,On-Time,10
56,Basic,Churned,11,28.00,62,Low,Medium,High,Delayed,4
57,Basic,Active,2,11.00,0,Medium,Medium,Low,On-Time,10
58,Pro,Active,2,59.00,29,Medium,High,Low,On-Time,10
59,Pro,Active,4,51.00,33,High,High,High,On-Time,8
60,Pro,Active,2,61.00,17,Medium,High,Low,On-Time,9
61,Pro,Churned,9,60.00,110,Low,Low,Medium,On-Time,7
62,Pro,Active,4,72.00,36,Medium,Medium,Low,On-Time,10
63,Enterprise,Active,2,125.00,16,Medium,High,Low,On-Time,9
64,Basic,Active,2,23.00,14,High,Medium,Medium,On-Time,8
65,Pro,"At Risk",6,71.00,44,High,High,High,Delayed,8
