signup_month,total_users,active_users,at_risk_users,churned_users,churn_rate,arpu,total_revenue,revenue_lost,revenue_at_risk
2024-02-01,257,160,46,51,0.198,55.20,14187.00,3173.00,2591.00
2025-11-01,284,182,39,63,0.222,51.71,14685.00,3210.00,2023.00
2025-03-01,263,156,39,68,0.259,48.99,12885.00,2866.00,2297.00
2024-10-01,285,164,48,73,0.256,53.66,15292.00,4159.00,2198.00
2023-06-01,265,164,41,60,0.226,53.72,14235.00,3401.00,2308.00
2023-03-01,309,183,42,84,0.272,49.67,15347.00,4802.00,2184.00
2025-08-01,276,182,36,58,0.210,51.64,14253.00,3027.00,1806.00
2025-02-01,247,152,45,50,0.202,55.21,13637.00,2760.00,2573.00
2023-01-01,278,167,48,63,0.227,50.94,14162.00,3281.00,3467.00
2025-06-01,288,181,46,61,0.212,51.37,14795.00,3349.00,2128.00
2023-08-01,291,179,43,69,0.237,49.16,14306.00,3961.00,1964.00
2023-07-01,282,184,32,66,0.234,52.93,14926.00,3497.00,1957.00
2023-11-01,270,148,37,85,0.315,50.70,13690.00,3433.00,2209.00
2024-07-01,304,181,50,73,0.240,56.83,17276.00,3024.00,3171.00
2024-04-01,281,169,37,75,0.267,49.74,13977.00,4731.00,1824.00
2024-05-01,282,174,38,70,0.248,51.64,14563.00,4149.00,2132.00
2025-05-01,269,166,35,68,0.253,60.17,16187.00,4183.00,2330.00
2023-02-01,266,163,38,65,0.244,50.65,13473.00,3290.00,1668.00
2023-04-01,277,168,38,71,0.256,52.74,14609.00,4122.00,1729.00
2025-01-01,295,170,50,75,0.254,44.57,13149.00,3867.00,2206.00
2023-05-01,295,182,34,79,0.268,54.85,16182.00,4255.00,2160.00
2024-06-01,270,161,42,67,0.248,56.80,15335.00,3393.00,2254.00
2025-09-01,263,159,32,72,0.274,50.54,13292.00,3171.00,1909.00
2023-10-01,298,180,44,74,0.248,46.40,13827.00,3669.00,1971.00
2024-12-01,285,172,45,68,0.239,50.16,14296.00,3374.00,2054.00
2023-12-01,269,156,43,70,0.260,48.35,13007.00,3434.00,2105.00
2024-08-01,285,178,43,64,0.225,49.56,14126.00,3610.00,1700.00
2025-04-01,258,165,37,56,0.217,52.27,13485.00,3506.00,1995.00
2025-10-01,280,167,42,71,0.254,50.16,14046.00,3418.00,2506.00
2024-03-01,312,197,55,60,0.192,51.03,15921.00,3630.00,2736.00
2024-01-01,297,186,39,72,0.242,57.70,17137.00,3485.00,2208.00
2025-12-01,243,152,39,52,0.214,48.81,11860.00,2717.00,1822.00
2024-11-01,265,164,45,56,0.211,54.12,14343.00,3050.00,1980.00
2024-09-01,281,171,41,69,0.246,54.42,15293.00,4029.00,2261.00
2023-09-01,275,152,50,73,0.265,52.82,14526.00,4736.00,2677.00
2025-07-01,255,155,35,65,0.255,54.38,13868.00,3173.00,1919.00
