signup_month,plan_type,churn_status,users,total_revenue,avg_revenue
2024-02-01,Basic,Active,83,1615.00,19.46
2025-11-01,Pro,Churned,25,1477.00,59.08
2025-03-01,Pro,Active,49,2822.00,57.59
2024-10-01,Pro,Churned,28,1671.00,59.68
2023-06-01,Basic,Churned,29,582.00,20.07
2023-06-01,Basic,Active,94,1846.00,19.64
2023-03-01,Enterprise,"At Risk",4,858.00,214.50
2025-08-01,Enterprise,Churned,8,1507.00,188.38
2024-10-01,Basic,Active,88,1743.00,19.81
2025-02-01,Enterprise,Active,17,3751.00,220.65
2023-01-01,Basic,Active,101,1924.00,19.05
2025-11-01,Basic,Churned,34,679.00,19.97
2025-06-01,Pro,Active,56,3221.00,57.52
2023-08-01,Basic,Active,102,1897.00,18.60
2023-07-01,Pro,Active,70,4171.00,59.59
2023-07-01,Basic,Churned,39,755.00,19.36
2023-11-01,Basic,Churned,51,983.00,19.27
2024-07-01,Pro,"At Risk",22,1332.00,60.55
2024-04-01,Pro,Churned,29,1733.00,59.76
2023-11-01,Basic,Active,78,1654.00,21.21
2023-06-01,Pro,Active,53,3218.00,60.72
2023-11-01,Pro,"At Risk",19,1172.00,61.68
2024-02-01,Basic,Churned,26,567.00,21.81
2024-05-01,Pro,Churned,24,1467.00,61.13
2025-05-01,Pro,Active,66,4019.00,60.89
2024-07-01,Basic,Churned,50,940.00,18.80
2024-10-01,Basic,"At Risk",24,428.00,17.83
2023-02-01,Basic,Active,93,1791.00,19.26
2023-07-01,Pro,"At Risk",12,784.00,65.33
2023-03-01,Basic,Active,117,2341.00,20.01
2025-11-01,Pro,Active,51,2896.00,56.78
2025-11-01,Basic,Active,108,2070.00,19.17
2025-06-01,Basic,Active,105,1984.00,18.90
2023-04-01,Pro,Active,62,3655.00,58.95
2025-01-01,Pro,Active,59,3410.00,57.80
2024-04-01,Basic,Active,103,2036.00,19.77
2023-05-01,Basic,Active,95,1841.00,19.38
2024-06-01,Basic,Active,87,1741.00,20.01
2023-02-01,Pro,Active,53,3188.00,60.15
2025-09-01,Basic,Active,89,1667.00,18.73
2023-10-01,Pro,"At Risk",16,942.00,58.88
2024-12-01,Pro,Active,62,3768.00,60.77
2023-12-01,Basic,Churned,41,809.00,19.73
2024-07-01,Basic,Active,89,1843.00,20.71
2024-08-01,Pro,Active,62,3727.00,60.11
2023-07-01,Pro,Churned,21,1234.00,58.76
2025-04-01,Basic,Churned,33,686.00,20.79
2025-10-01,Basic,Active,99,1858.00,18.77
